year_x,coachID,award,note,tmID,stint,won,lost,post_wins,post_losses
2011,popovgr01,NBA Coach of the Year,0,SAS,2,17.0,47.0,0.0,0.0
2011,popovgr01,NBA Coach of the Year,0,SAS,1,56.0,26.0,4.0,5.0
2011,popovgr01,NBA Coach of the Year,0,SAS,1,37.0,13.0,15.0,2.0
2011,popovgr01,NBA Coach of the Year,0,SAS,1,53.0,29.0,1.0,3.0
2011,popovgr01,NBA Coach of the Year,0,SAS,1,58.0,24.0,7.0,6.0
2011,popovgr01,NBA Coach of the Year,0,SAS,1,58.0,24.0,4.0,6.0
2011,popovgr01,NBA Coach of the Year,0,SAS,1,60.0,22.0,16.0,8.0
2011,popovgr01,NBA Coach of the Year,0,SAS,1,57.0,25.0,6.0,4.0
2011,popovgr01,NBA Coach of the Year,0,SAS,1,59.0,23.0,16.0,7.0
2011,popovgr01,NBA Coach of the Year,0,SAS,1,63.0,19.0,7.0,6.0
2011,popovgr01,NBA Coach of the Year,0,SAS,1,58.0,24.0,16.0,4.0
2011,popovgr01,NBA Coach of the Year,0,SAS,1,56.0,26.0,9.0,8.0
2011,popovgr01,NBA Coach of the Year,0,SAS,1,54.0,28.0,1.0,4.0
2011,popovgr01,NBA Coach of the Year,0,SAS,1,50.0,32.0,4.0,6.0
2011,popovgr01,NBA Coach of the Year,0,SAS,1,61.0,21.0,2.0,4.0
2011,popovgr01,NBA Coach of the Year,0,SAS,1,50.0,16.0,10.0,4.0
2002,popovgr01,NBA Coach of the Year,0,SAS,2,17.0,47.0,0.0,0.0
2002,popovgr01,NBA Coach of the Year,0,SAS,1,56.0,26.0,4.0,5.0
2002,popovgr01,NBA Coach of the Year,0,SAS,1,37.0,13.0,15.0,2.0
2002,popovgr01,NBA Coach of the Year,0,SAS,1,53.0,29.0,1.0,3.0
2002,popovgr01,NBA Coach of the Year,0,SAS,1,58.0,24.0,7.0,6.0
2002,popovgr01,NBA Coach of the Year,0,SAS,1,58.0,24.0,4.0,6.0
2002,popovgr01,NBA Coach of the Year,0,SAS,1,60.0,22.0,16.0,8.0
2002,popovgr01,NBA Coach of the Year,0,SAS,1,57.0,25.0,6.0,4.0
2002,popovgr01,NBA Coach of the Year,0,SAS,1,59.0,23.0,16.0,7.0
2002,popovgr01,NBA Coach of the Year,0,SAS,1,63.0,19.0,7.0,6.0
